"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"1",2,"SUPERIOR",47.72,-88.23,"Canada; United States","Lake",184,4094,4,6.09556948313565,14.6538160778222
"2",3,"VICTORIA",-1.3,33.23,"Tanzania; Uganda;  Kenya","Lake",1140,2313,6,25.137561847936,1.56120625814576
"3",4,"ARAL Sea",45.13,60.08,"Kazakhstan; Uzbekistan","Lake",42,1535,9,11.108757198987,26.7233217690447
"4",5,"HURON",44.78,-82.21,"Canada; United States","Lake",176,2763,5,8.34891981066509,19.2827215490971
"5",6,"MICHIGAN",43.86,-87.09,"United States","Lake",176,2710,9,9.4230286411305,19.2593062696208
"6",7,"TANGANYIKA",-6.07,29.46,"DR Congo; Tanzania;  Zambia;  Burundi","Lake",837,1148,6,26.3590096631842,2.22520617386386
"7",8,"BAYKAL/BAIKAL",53.63,108.14,"Russia","Lake",450,1871,4,3.86462010600942,13.2071645978885
"8",9,"GREAT BEAR Lake",65.91,-121.3,"Canada","Lake",157,2590,4,1.29020018390083,6.45791623253283
"9",10,"MALAWI/NYASA/NIASSA",-11.96,34.59,"Malawi; Mozambique;  Tanzania","Lake",485,1048,6,26.4111854438207,4.67255609719865
"10",11,"GREAT SLAVE Lake",62.09,-114.37,"Canada","Lake",158,1992,4,3.2092983795298,13.7836018833127
"11",12,"ERIE",42.25,-81.16,"Canada; United States","Lake",174,1191,9,10.5600651229578,23.4103165256172
"12",13,"WINNIPEG",52.12,-97.25,"Canada","Lake",217,1401,5,5.83272575184495,19.9460105469491
"13",14,"CHAD",13.45,14.19,"Chad; Nigeria; Niger; Cameroon","Lake",279,58,3,25.9825326277384,9.43434905155272
"14",15,"ONTARIO",43.85,-77.77,"Canada; United States","Lake",75,877,9,10.0891154226946,20.2334638057214
"15",16,"LADOGA",60.84,31.39,"Russia","Lake",11,1182,5,5.73901169185886,17.2262356544864
