x,y,class,post 1,post 2,post 3,post 4,post 5,post 6,post 7,post 8,post 9
-180,66,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-180,68,4,0,0,0,1,0,0,0,0,0
-178,66,4,0,0,0,1,0,0,0,0,0
-178,68,4,0,0,0,1,0,0,0,0,0
-176,66,4,0,0,0,1,0,0,0,0,0
-174,66,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-172,66,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-166,60,4,0,0,0,0.88,0.12,0,0,0,0
-166,66,4,0,0,0,0.9947,0.0053,0,0,0,0
-164,60,4,0,0,0,0.8863,0.1137,0,0,0,0
-164,62,4,0,0,0,0.8843,0.1156,0,0,0,0
-164,66,4,0,0,0,0.9848,0.0152,0,0,0,0
-164,68,4,0,0,0,1,0,0,0,0,0
-162,60,4,0,0,0,0.713,0.2869,0,0,0,1.00E-04
-162,62,4,0,0,0,0.7998,0.2002,0,0,0,1.00E-04
-162,66,4,0,0,0,0.9417,0.0583,0,0,0,0
-162,68,4,0,0,0,1,0,0,0,0,0
-162,70,4,0,0,0,1,0,0,0,0,0
-160,56,5,0,0,0,0.1152,0.8841,0,0,0,7.00E-04
-160,60,4,0,0,0,0.57,0.4298,0,0,0,2.00E-04
-160,62,5,0,0,0,0.3079,0.6918,0,0,0,4.00E-04
-160,64,4,0,0,0,0.5981,0.4017,0,0,0,2.00E-04
-160,66,4,0,0,0,0.8565,0.1434,0,0,0,1.00E-04
-160,68,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-160,70,4,0,0,0,1,0,0,0,0,0
-158,60,5,0,0,0,0.3827,0.6171,0,0,0,3.00E-04
-158,62,5,0,0,0,0.2588,0.7408,0,0,0,4.00E-04
-158,64,5,0,0,0,0.3312,0.6684,0,0,0,4.00E-04
-158,66,4,0,0,0,0.7947,0.2052,0,0,0,1.00E-04
-158,68,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-158,70,4,0,0,0,1,0,0,0,0,0
-156,58,5,0,0,0,0.1871,0.8125,0,0,0,5.00E-04
-156,60,5,0,0,0,0.3157,0.684,0,0,0,3.00E-04
-156,62,5,0,0,0,0.173,0.8265,0,0,0,6.00E-04
-156,64,5,0,0,0,0.1721,0.8273,0,0,0,6.00E-04
-156,66,4,0,0,0,0.7078,0.2921,0,0,0,1.00E-04
-156,68,4,0,0,0,1,0,0,0,0,0
-156,70,4,0,0,0,1,0,0,0,0,0
-154,60,5,0,0,0,0.3775,0.6222,0,0,0,3.00E-04
-154,62,4,0,0,0,0.7192,0.2806,0,0,0,1.00E-04
-154,64,5,0,0,0,0.1232,0.876,0,0,0,7.00E-04
-154,66,4,0,0,0,0.7973,0.2026,0,0,0,1.00E-04
-154,68,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-154,70,4,0,0,0,1,0,0,0,0,0
-152,62,4,0,0,0,0.794,0.206,0,0,0,1.00E-04
-152,64,5,0,0,0,0.2676,0.7319,0,0,0,5.00E-04
-152,66,4,0,0,0,0.7846,0.2153,0,0,0,1.00E-04
-152,68,4,0,0,0,0.9998,2.00E-04,0,0,0,0
-152,70,4,0,0,0,1,0,0,0,0,0
-150,60,5,0,0,0,0.0972,0.9021,0,0,0,7.00E-04
-150,62,4,0,0,0,0.5877,0.4121,0,0,0,2.00E-04
-150,64,4,0,0,0,0.8422,0.1578,0,0,0,1.00E-04
-150,66,4,0,0,0,0.772,0.2279,0,0,0,1.00E-04
-150,68,4,0,0,0,0.9998,2.00E-04,0,0,0,0
-150,70,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-148,62,4,0,0,0,0.9951,0.0049,0,0,0,0
-148,64,4,0,0,0,0.9594,0.0406,0,0,0,0
-148,66,4,0,0,0,0.7091,0.2907,0,0,0,1.00E-04
-148,68,4,0,0,0,0.9998,2.00E-04,0,0,0,0
-148,70,4,0,0,0,0.9999,1.00E-04,0,0,0,0
-146,62,4,0,0,0,0.9656,0.0344,0,0,0,0
-146,64,4,0,0,0,0.9478,0.0522,0,0,0,0
-146,66,4,0,0,0,0.705,0.2949,0,0,0,1.00E-04
-146,68,4,0,0,0,0.9998,2.00E-04,0,0,0,0
-146,70,4,0,0,0,0.9999,1.00E-04,0,0,0,0
