GloboLakes_ID,LakeName,Latitude,Longitude,Country,Type,Elevation,LakeSize,Group,OverallAvg,OverallMeanAmp,misclassified
2,SUPERIOR,47.72,-88.23,Canada; United States,Lake,184,4094,4,6.095569483,14.65381608,FALSE
3,VICTORIA,-1.3,33.23,Tanzania; Uganda;  Kenya,Lake,1140,2313,6,25.13756185,1.561206258,FALSE
4,ARAL Sea,45.13,60.08,Kazakhstan; Uzbekistan,Lake,42,1535,9,11.1087572,26.72332177,FALSE
5,HURON,44.78,-82.21,Canada; United States,Lake,176,2763,5,8.348919811,19.28272155,TRUE
6,MICHIGAN,43.86,-87.09,United States,Lake,176,2710,9,9.423028641,19.25930627,FALSE
7,TANGANYIKA,-6.07,29.46,DR Congo; Tanzania;  Zambia;  Burundi,Lake,837,1148,6,26.35900966,2.225206174,FALSE
8,BAYKAL/BAIKAL,53.63,108.14,Russia,Lake,450,1871,4,3.864620106,13.2071646,FALSE
9,GREAT BEAR Lake,65.91,-121.3,Canada,Lake,157,2590,4,1.290200184,6.457916233,FALSE
10,MALAWI/NYASA/NIASSA,-11.96,34.59,Malawi; Mozambique;  Tanzania,Lake,485,1048,6,26.41118544,4.672556097,FALSE
11,GREAT SLAVE Lake,62.09,-114.37,Canada,Lake,158,1992,4,3.20929838,13.78360188,FALSE
12,ERIE,42.25,-81.16,Canada; United States,Lake,174,1191,9,10.56006512,23.41031653,FALSE
13,WINNIPEG,52.12,-97.25,Canada,Lake,217,1401,5,5.832725752,19.94601055,FALSE
14,CHAD,13.45,14.19,Chad; Nigeria; Niger; Cameroon,Lake,279,58,3,25.98253263,9.434349052,FALSE
15,ONTARIO,43.85,-77.77,Canada; United States,Lake,75,877,9,10.08911542,20.23346381,FALSE
16,LADOGA,60.84,31.39,Russia,Lake,11,1182,5,5.739011692,17.22623565,FALSE
17,BALQASH,45.91,73.95,Kazakhstan,Lake,329,962,9,8.595402362,23.78668964,FALSE
18,ONEGA,61.9,35.35,Russia,Lake,56,690,5,5.381159839,17.07188895,FALSE
20,TITICACA,-15.92,-69.3,Peru; Bolivia,Lake,3827,285,8,13.77115692,3.120876065,FALSE
21,NICARAGUA/COCIBOLCA/GRANADA,11.57,-85.36,Nicaragua,Lake,31,281,3,27.83473937,3.306210002,FALSE
22,TURKANA,3.53,36.08,Kenya; Ethiopia,Lake,438,263,3,27.34227399,2.379254115,FALSE
23,ATHABASCA,59.1,-109.96,Canada,Lake,212,524,4,3.948442826,16.12718258,FALSE
24,"VOLTA, Lake",7.63,0.11,Ghana,Reservoir,89,246,3,29.48068455,1.90084887,FALSE
26,GREAT SALT Lake,41.2,-112.5,United States,Lake,1275,261,9,12.508644,25.61290528,FALSE
28,REINDEER Lake,57.19,-102.27,Canada,Lake,337,310,4,3.632679006,15.3711162,FALSE
29,VÄNERN,58.88,13.22,Sweden,Lake,45,350,5,7.612355329,17.66806883,TRUE
30,ALBERT,1.67,30.91,Uganda; DR Congo,Lake,629,190,3,27.73807042,1.12766199,FALSE
31,WINNIPEGOSIS,52.37,-100.05,Canada,Lake,252,328,5,6.224850482,21.27731523,FALSE
33,KUYBYSHEVSKOYE,54.54,48.65,Russia,Reservoir,56,307,5,7.603869466,23.61416676,FALSE
34,URMIA,37.64,45.49,Iran,Lake,1271,283,1,15.46726962,23.56880066,FALSE
35,"KARIBA, Lake",-17.23,27.6,Zimbabwe; Zambia,Reservoir,468,166,6,26.27336016,6.450996537,FALSE
36,MWERU,-9.01,28.74,Zambia; DR Congo,Lake,949,186,6,25.18525454,5.136841974,FALSE
37,MANITOBA,50.99,-98.8,Canada,Lake,247,295,5,6.645689481,22.01584144,FALSE
38,NIPIGON,49.8,-88.55,Canada,Lake,283,250,5,5.946132348,18.04234782,FALSE
39,BRATSKOYE Reservoir,54.85,103.07,Russia,Reservoir,399,237,5,5.389190518,20.0207514,FALSE
41,QINGHAI,36.89,100.18,China,Lake,3176,194,5,6.385233683,16.1314614,FALSE
42,"CAHORA  BASSA, Lake",-15.73,31.63,Mozambique; Zimbabwe,Reservoir,420,102,6,25.87316054,7.063268388,FALSE
43,TAYMYR,74.48,100.76,Russia,Lake,24,627,4,0.809532703,9.661390043,FALSE
44,"WOODS, lake of the",49.38,-94.91,Canada; United States,Lake,326,156,5,7.28257651,22.11885419,FALSE
45,KHANKA Lake,44.94,132.42,Russia; China,Lake,64,209,9,8.006414794,24.21544277,FALSE
46,MIRIM,-32.89,-53.25,Brazil; Uruguay,Lagoon,10,178,8,18.71957677,12.63923445,FALSE
47,RYBINKSKOYE Reservoir,58.49,38.13,Russia,Reservoir,108,257,5,6.546441029,21.43197021,FALSE
48,"NASSER, Lake",22.86,32.58,Egypt; Sudan,Reservoir,192,186,2,24.31159485,11.47773503,FALSE
50,Peipus/Peipsi,58.41,27.59,Russia; Estonia,Lake,29,234,5,7.164372231,20.89714364,FALSE
51,VAN,38.66,42.98,Turkey,Lake,1638,168,1,13.05779419,19.24732934,FALSE
53,UVS Lake,50.33,92.81,Mongolia; Russia,Lake,752,203,5,6.733519886,21.50978089,FALSE
55,TANA,11.95,37.31,Ethiopia,Lake,1786,116,6,22.82760516,2.557500847,FALSE
57,CEDAR Lake,53.33,-100.14,Canada,Reservoir,256,167,5,5.891554448,20.95047678,FALSE
59,KHUVSGUL Lake,51.02,100.48,Mongolia,Lake,1640,160,4,2.964474136,11.35722901,FALSE
61,VOLGOGRADSKOYE,50.35,45.85,Russia,Reservoir,19,169,9,8.666617824,23.10222186,FALSE
62,ILIAMNA Lake,59.56,-154.9,United States,Lake,35,185,4,4.044094977,12.21313103,FALSE
64,TONLÉ SAP Lake,12.81,104.15,Cambodia,Lake,4,105,3,30.0846755,5.730378556,FALSE
66,TAIHU Lake,31.21,120.24,China,Lake,2,115,1,17.56426974,25.54321482,FALSE
67,KIVU,-2.04,29.23,DR Congo; Rwanda,Lake,1500,88,6,24.01353741,1.316675995,FALSE
68,WOLLASTON Lake,58.3,-103.33,Canada,Lake,396,116,4,3.337021805,14.81741705,FALSE
69,EDWARD/ÉDOUARD,-0.39,29.61,DR Congo; Uganda,Lake,781,78,6,26.18840751,1.037505456,FALSE
71,TSIMLYANSKOYE Reservoir,48.05,42.98,Russia,Reservoir,28,133,9,10.24402375,24.85391374,FALSE
72,SOUTHERN INDIAN Lake,57.14,-98.61,Canada,Reservoir,259,169,4,3.724883083,15.85470334,FALSE
73,ZZZZ,-2.88,-55.14,Brazil,Lake,23,100,3,30.16077698,1.006095641,FALSE
75,HULUN Lake,48.97,117.38,China,Lake,539,109,5,6.59468176,23.34303952,FALSE
77,THERTHAR Lake,34.11,43.17,Iraq,Reservoir,48,74,2,21.34372158,16.40881692,FALSE
78,POYANG Lake,29.25,116.06,China,Lake,3,104,2,21.0021999,20.00539883,FALSE
79,KAKHOVS'KE Reservoir,47.27,33.95,Ukraine,Reservoir,11,128,9,11.08604428,25.22698138,FALSE
81,BANGWEULU,-11.19,29.76,Zambia,Lake,1170,81,6,23.21369722,6.99638159,FALSE
84,CHIQUITA,-30.74,-62.61,Argentina,Lake,66,213,8,19.64829146,14.82701627,FALSE
86,RUKWA,-7.84,32.16,Tanzania,Lake,757,219,6,25.56074144,5.497388498,FALSE
87,KREMENCHUK/KREMENCHUTS'KE Reservoir,49.28,32.62,Ukraine,Reservoir,78,112,9,10.10766362,24.19082614,FALSE
88,ZEYSKOYE,54.26,127.8,Russia,Reservoir,271,126,4,4.681833332,19.50227587,TRUE
90,MAI-NDOMBE,-2.14,18.32,DR Congo,Lake,335,95,3,29.80461929,2.910263924,FALSE
91,NAM Lake,30.71,90.66,China,Lake,4704,91,4,4.461557945,11.51763158,FALSE
92,CHANY,54.83,77.39,Russia,Lake,93,90,5,6.280471993,22.65458788,FALSE
93,KRASNOYARSKOYE,54.84,90.94,Russia,Reservoir,217,99,5,6.215205815,21.16914914,FALSE
