"x","y","class","post"
-180,66,4,0.9999
-180,68,4,1
-178,66,4,1
-178,68,4,1
-176,66,4,1
-174,66,4,0.9999
-172,66,4,0.9999
-166,60,4,0.88
-166,66,4,0.9947
-164,60,4,0.8863
-164,62,4,0.8843
-164,66,4,0.9848
-164,68,4,1
-162,60,4,0.713
-162,62,4,0.7998
-162,66,4,0.9417
-162,68,4,1
-162,70,4,1
-160,56,5,0.8841
-160,60,4,0.57
-160,62,5,0.6918
-160,64,4,0.5981
-160,66,4,0.8565
-160,68,4,0.9999
-160,70,4,1
-158,60,5,0.6171
-158,62,5,0.7408
-158,64,5,0.6684
-158,66,4,0.7947
-158,68,4,0.9999
-158,70,4,1
-156,58,5,0.8125
-156,60,5,0.684
-156,62,5,0.8265
-156,64,5,0.8273
-156,66,4,0.7078
-156,68,4,1
-156,70,4,1
-154,60,5,0.6222
-154,62,4,0.7192
-154,64,5,0.876
-154,66,4,0.7973
-154,68,4,0.9999
-154,70,4,1
-152,62,4,0.794
-152,64,5,0.7319
-152,66,4,0.7846
-152,68,4,0.9998
-152,70,4,1
-150,60,5,0.9021
-150,62,4,0.5877
-150,64,4,0.8422
-150,66,4,0.772
-150,68,4,0.9998
-150,70,4,0.9999
-148,62,4,0.9951
-148,64,4,0.9594
-148,66,4,0.7091
-148,68,4,0.9998
-148,70,4,0.9999
-146,62,4,0.9656
-146,64,4,0.9478
-146,66,4,0.705
-146,68,4,0.9998
-146,70,4,0.9999
-144,62,4,0.9827
-144,64,4,0.8228
-144,66,5,0.5593
-144,68,4,0.9999
-144,70,4,1
-142,62,4,0.9613
-142,64,4,0.632
-142,66,4,0.7648
-142,68,4,0.9991
-140,60,4,0.9972
-140,62,4,0.6827
-140,64,4,0.5794
-140,66,4,0.9751
-140,68,4,0.9968
-138,60,4,0.8621
-138,62,4,0.6717
-138,64,4,0.6331
-138,66,4,0.9878
-138,68,4,0.9978
-136,58,5,0.9376
-136,60,4,0.8331
-136,62,5,0.6854
-136,64,4,0.7766
-136,66,4,0.9595
-136,68,4,0.9904
-134,60,4,0.8177
-134,62,4,0.538
-134,64,4,0.7373
-134,66,4,0.8506
-134,68,4,0.9742
-132,54,9,0.9923
-132,56,5,0.9738
-132,58,4,0.579
-132,60,4,0.7236
-132,62,4,0.7819
-132,64,4,0.9658
-132,66,4,0.6798
-132,68,4,0.9736
-130,54,9,0.8152
-130,56,5,0.9575
-130,58,4,0.8648
-130,60,5,0.5627
-130,62,4,0.9827
-130,64,4,0.9991
-130,66,5,0.6186
-130,68,4,0.9905
-130,70,4,1
-128,52,9,0.9295
-128,54,5,0.985
-128,56,5,0.8449
-128,58,4,0.8792
-128,60,5,0.9199
-128,62,4,0.9949
-128,64,4,0.9984
-128,66,5,0.5014
-128,68,4,0.9973
-128,70,4,1
-126,50,9,0.9977
-126,52,5,0.9883
-126,54,5,0.9885
-126,56,5,0.7472
-126,58,4,0.9402
-126,60,5,0.7593
-126,62,4,0.9667
-126,64,4,0.8425
-126,66,4,0.8599
-124,40,1,0.9991
-124,42,1,0.9936
-124,44,1,0.9965
-124,48,1,0.8393
-124,50,5,0.92
-124,52,5,0.9892
-124,54,5,0.9868
-124,58,5,0.5777
-124,60,5,0.9779
-124,62,5,0.8617
-124,64,5,0.65
-124,66,4,0.8058
-124,68,4,0.9999
-124,72,4,1
-124,74,4,1
-122,42,9,0.5245
-122,44,1,0.7244
-122,46,1,0.8314
-122,48,1,0.5203
-122,50,5,0.99
-122,52,5,0.9356
-122,54,5,0.9875
-122,56,5,0.9793
-122,58,5,0.9875
-122,60,5,0.9842
-122,62,5,0.9503
-122,64,5,0.6503
-122,66,4,0.9799
-122,68,4,1
-122,72,4,1
-122,74,4,1
-120,36,2,0.8853
-120,38,1,0.9943
-120,40,1,0.5079
-120,42,9,0.9883
-120,44,9,0.9754
-120,46,1,0.842
-120,48,9,0.9065
-120,50,5,0.6724
-120,52,5,0.9791
-120,54,5,0.8852
-120,56,5,0.9908
-120,58,5,0.9909
-120,60,5,0.9788
-120,62,5,0.9127
-120,68,4,1
-120,74,4,1
-120,76,4,1
-118,34,2,0.9475
-118,36,1,0.7871
-118,38,1,0.8911
-118,40,1,0.9385
-118,42,9,0.9768
-118,44,9,0.9991
-118,46,9,0.9887
-118,48,9,0.9993
-118,50,5,0.968
-118,52,5,0.9621
-118,54,5,0.9894
-118,56,5,0.9908
-118,58,5,0.9912
-118,60,5,0.979
-118,62,5,0.9018
-118,64,4,0.6826
-118,66,4,0.9779
-118,68,4,1
-118,72,4,1
-118,74,4,1
-118,76,4,1
-116,32,2,0.9883
-116,34,2,0.9556
-116,36,1,0.5094
-116,38,9,0.7946
-116,40,9,0.9718
-116,42,9,0.9975
-116,44,9,0.9989
-116,46,9,0.9983
-116,48,9,0.9969
-116,50,5,0.9879
-116,52,5,0.5358
-116,54,5,0.983
-116,56,5,0.9906
-116,58,5,0.9905
-116,60,5,0.987
